"filename", "language", "SCSS", "JSON", "TypeScript", "Markdown", "HTML", "XML", "JavaScript", "comment", "blank", "total"
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\pra-edit-norma-sistema\pra-edit-norma-sistema.component.html", "HTML", 0, 0, 0, 0, 23, 0, 0, 0, 1, 24
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\pra-edit-norma-sistema\pra-edit-norma-sistema.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\pra-edit-norma-sistema\pra-edit-norma-sistema.component.ts", "TypeScript", 0, 0, 53, 0, 0, 0, 0, 0, 11, 64
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\product-detail\product-detail.component.html", "HTML", 0, 0, 0, 0, 54, 0, 0, 30, 1, 85
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\product-detail\product-detail.component.scss", "SCSS", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\product-detail\product-detail.component.ts", "TypeScript", 0, 0, 70, 0, 0, 0, 0, 0, 6, 76
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\registro-ciclo\registro-ciclo.component.html", "HTML", 0, 0, 0, 0, 34, 0, 0, 0, 1, 35
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\registro-ciclo\registro-ciclo.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\registro-ciclo\registro-ciclo.component.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 8, 28
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\tcp-list-products\tcp-list-products.component.html", "HTML", 0, 0, 0, 0, 45, 0, 0, 4, 0, 49
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\tcp-list-products\tcp-list-products.component.scss", "SCSS", 45, 0, 0, 0, 0, 0, 0, 1, 1, 47
